,day_type,total_visits,average_visits_per_day,most_visited_url,most_visisted_count,study(%),entertainment(%),other_broad(%),coding(%),streaming(%),medical(%),financial(%),educational(%),gaming(%),social_media(%),news_media(%),other_narrow(%)
0,Weekday,1380,276.0,netflix.com,0,0.0101,0.3594,0.6304,0.0058,0.2261,0,0,0.0043,0,0.0123,0,0.7514
1,Weekend,1111,555.5,mail.google.com,0,0.0027,0.099,0.8983,0.0,0.0261,0.0027,0,0.0027,0.0018,0.0288,0,0.9379
